Column 1,Column 2,Column 3,Column 4,Column 5
Rank,Town,Population,"Area
",Density
1,Burlington,38889,15.48,2512.2
2,Essex,18626,39.4,472.7
3,Rutland,17292,7.67,2254.5
4,Colchester,16986,60.3,281.7
5,South Burlington,15814,30.92,511.4
6,Bennington,15737,42.27,372.3
7,Brattleboro,12005,32.63,367.9
8,Hartford,10367,46,225.4
9,Milton,9479,60.98,155.4
10,Barre,9291,4.03,2305.5
11,Springfield,9078,49.6,183
12,Middlebury,8183,39.69,206.2
13,Montpelier,8035,10.26,783.1
14,Williston,7650,31.1,246
15,St. Albans,7650,1.99,3844.2
16,Barre Town,7602,30.73,247.4
17,St. Johnsbury,7571,36.85,205.5
18,Shelburne,6944,43.67,159
19,Winooski,6561,1.39,4720.1
20,Swanton,6203,61.68,100.6
21,Northfield,5791,44.82,129.2
22,Lyndon,5448,39.69,137.3
23,Rockingham,5309,42.11,126.1
24,Morristown,5139,51.29,100.2
25,St. Albans Town,5086,60.81,83.6
26,Jericho,5015,35.56,141
27,Newport,5005,7.78,643.3
28,Waterbury,4915,50.38,97.6
29,Randolph,4853,48.12,100.9
30,Derby,4604,57.12,80.6
31,Georgia,4375,45.31,96.6
32,Castleton,4367,42.33,103.2
33,Hinesburg,4340,39.85,108.9
34,Stowe,4339,73.14,59.3
35,Manchester,4180,42.08,99.3
36,Richmond,4090,32.75,124.9
37,Rutland Town,4038,19.58,206.2
38,Brandon,3917,39.95,98
39,Bristol,3788,41.21,91.9
40,Shaftsbury,3767,43.05,87.5
41,Fairfax,3765,40.4,93.2
42,Windsor,3756,19.77,190
43,Poultney,3633,44.64,81.4
44,Charlotte,3569,50.38,70.8
45,Pownal,3560,47.4,75.1
46,Norwich,3544,44.86,79
47,Highgate,3397,59.82,56.8
48,Johnson,3274,45.21,72.4
49,Woodstock,3232,44.37,72.8
50,Williamstown,3225,40.33,80
51,Hartland,3223,45.28,71.2
52,Westminster,3210,45.24,71
53,Cambridge,3186,63.48,50.2
54,Hardwick,3174,38.66,82.1
55,Pittsford,3140,43.45,72.3
56,Chester,3044,55.9,54.5
57,Underhill,2980,51.29,58.1
58,Fair Haven,2928,18.22,160.7
59,Berlin,2864,36.71,78
60,Hyde Park,2847,39,73
61,Clarendon,2811,31.5,89.2
62,Enosburgh,2788,48.32,57.7
63,Weathersfield,2788,44.02,63.3
64,Barton,2780,44.36,62.7
65,Vergennes,2741,2.5,1096.4
66,Ferrisburgh,2657,61.24,43.4
67,Putney,2634,26.7,98.7
68,Bradford,2619,29.93,87.5
69,Thetford,2617,44.43,58.9
70,Royalton,2603,40.85,63.7
71,East Montpelier,2578,31.99,80.6
72,West Rutland,2535,17.87,141.9
73,Ludlow,2449,36.02,68
74,Arlington,2397,42.23,56.8
75,Richford,2321,43.24,53.7
76,Wallingford,2274,43.05,52.8
77,Wilmington,2225,42.46,52.4
78,Danville,2211,61.02,36.2
79,Vernon,2141,20.11,106.5
80,Westford,2086,39.11,53.3
81,Guilford,2046,39.58,51.7
82,Dorset,2036,47.5,42.9
83,Sheldon,1990,39.34,50.6
84,Bethel,1968,45.72,43
85,Grand Isle,1955,35.01,55.8
